question,answers,context
Czy poeta Lucjan Rydel tworzył także sztuki teatralne?,['tak'],"Lucjan Rydel był znanym polskim poetą i dramatopisarzem okresu Młodej Polski. Jest autorem wielu utworów poetyckich, ale także napisał kilka sztuk teatralnych, które były wystawiane na scenach Krakowa i innych miast. Jego twórczość łączyła elementy narodowe i folklorystyczne, a dramaty często poruszały tematy społeczne i historyczne."
W którym państwie została ogłoszona „Deklaracja praw człowieka i obywatela”?,['we Francji'],"Kontekst: W roku 1789, podczas rewolucji francuskiej, Zgromadzenie Narodowe we Francji uchwaliło dokument określający podstawowe prawa i wolności obywateli, który miał stanowić fundament nowego ustroju politycznego i prawnego. Dokument ten jest znany jako „Deklaracja praw człowieka i obywatela”."
Która kawa zawiera alkohol: po turecku czy po irlandzku?,['po irlandzku'],"Kontekst: W kuchni i kulturze picia kawy istnieje wiele popularnych wariantów tego napoju. Kawa po turecku to tradycyjna kawa przygotowywana z bardzo drobno zmielonej kawy i wody, parzona w specjalnym tygielku i podawana bez żadnych dodatków alkoholowych. Natomiast kawa po irlandzku to kawa z dodatkiem irlandzkiej whiskey oraz bitej śmietany, która jest znanym napojem alkoholowym serwowanym na ciepło. 

Dzięki temu kontekstowi odpowiedź na pytanie o zawartość alkoholu w kawie będzie oczywista."
W którym mieście zmarł Sławomir Mrożek?,['w Nicei'],"Kontekst: Sławomir Mrożek, wybitny polski pisarz i dramaturg, zmarł w swoim rodzinnym mieście, gdzie spędził ostatnie lata życia.  
Pytanie: W którym mieście zmarł Sławomir Mrożek?"
Jak nazywał się autor powieści „Wierna rzeka”?,['Stefan Żeromski'],"Kontekst: „Wierna rzeka” to powieść historyczna osadzona w czasach powstania styczniowego, opowiadająca o losach młodego szlachcica oraz jego miłości. Autorem tej znanej i cenionej powieści jest Stefan Żeromski, jeden z najważniejszych pisarzy polskich przełomu XIX i XX wieku."
W którym polskim mieście wybrzeża znajduje się Fontanna Neptuna?,['w Gdańsku'],"Kontekst: Fontanna Neptuna to jedna z najsłynniejszych atrakcji turystycznych Gdańska, miasta położonego nad Morzem Bałtyckim, na polskim wybrzeżu. Znajduje się ona na Długim Targu, będąc symbolem miasta i jego morskiej tradycji."
Na którym kontynencie leżała Kartagina?,['w Afryce'],"Kontekst: Kartagina była starożytnym fenickim miastem-państwem, które znajdowało się w północnej Afryce, na terenie dzisiejszej Tunezji. Było ważnym ośrodkiem handlowym i potężnym państwem w basenie Morza Śródziemnego.  

Pytanie: Na którym kontynencie leżała Kartagina?"
Jak nazywał się reżyser pierwszego polskiego w filmu w 3D: „Bitwa Warszawska”?,['Jerzy Hoffman'],"Kontekst: Pierwszy polski film fabularny nakręcony w technologii 3D to „Bitwa Warszawska 1920”. Film ten opowiada o wydarzeniach związanych z wojną polsko-bolszewicką, a jego reżyserem jest Jerzy Hoffman, znany polski twórca filmowy specjalizujący się w filmach historycznych."
"Które owady australijskie tworzą ogromne kopce, wysokie na 6 metrów?",['termity'],"Kontekst: W Australii żyją różne gatunki owadów, ale jedne z najbardziej imponujących są termity. Termity australijskie są znane z budowy ogromnych kopców, które mogą osiągać nawet do 6 metrów wysokości. Te kopce służą termitom jako schronienie i system wentylacji, pomagając regulować temperaturę wewnątrz.  

Pytanie: Które owady australijskie tworzą ogromne kopce, wysokie na 6 metrów?"
Co jest dłuższe: mila morska czy kilometr?,['mila morska'],"Kontekst: Mila morska jest jednostką długości używaną w nawigacji morskiej i lotniczej. Jej długość wynosi dokładnie 1852 metry, podczas gdy kilometr to jednostka miary w systemie metrycznym o długości 1000 metrów.  

Dzięki temu wiadomo, że mila morska jest dłuższa od kilometra."
