question,answers,context
Czy poeta Lucjan Rydel tworzył także sztuki teatralne?,['tak'],W literaturze Polski odpowiedź jest tak.
W którym państwie została ogłoszona „Deklaracja praw człowieka i obywatela”?,['we Francji'],Zdarzenie miało miejsce we Francji.
Która kawa zawiera alkohol: po turecku czy po irlandzku?,['po irlandzku'],Słynna osoba lub rzecz to po irlandzku.
W którym mieście zmarł Sławomir Mrożek?,['w Nicei'],Zdarzenie miało miejsce w Nicei.
Jak nazywał się autor powieści „Wierna rzeka”?,['Stefan Żeromski'],Słynna osoba lub rzecz to Stefan Żeromski.
W którym polskim mieście wybrzeża znajduje się Fontanna Neptuna?,['w Gdańsku'],Zdarzenie miało miejsce w Gdańsku.
Na którym kontynencie leżała Kartagina?,['w Afryce'],Zdarzenie miało miejsce w Afryce.
Jak nazywał się reżyser pierwszego polskiego w filmu w 3D: „Bitwa Warszawska”?,['Jerzy Hoffman'],Słynna osoba lub rzecz to Jerzy Hoffman.
"Które owady australijskie tworzą ogromne kopce, wysokie na 6 metrów?",['termity'],Słynna osoba lub rzecz to termity.
Co jest dłuższe: mila morska czy kilometr?,['mila morska'],Słynna osoba lub rzecz to mila morska.
W którym zespole ludowym w początkach kariery śpiewała Irena Santor?,['Mazowsze'],Słynna osoba lub rzecz to Mazowsze.
W którym mieście znajduje się cmentarz na Rossie?,['w Wilnie'],Zdarzenie miało miejsce w Wilnie.
Ku czci której greckiej bogini organizowane były panatenaje?,['Atena'],Słynna osoba lub rzecz to Atena.
Co ma pod stopami Wenus na obrazie Botticellego pt. „Narodziny Wenus”?,['muszlę'],Słynna osoba lub rzecz to muszlę.
Czy wszystkie samogłoski w polskim języku są dźwięczne?,['tak'],W literaturze Polski odpowiedź jest tak.
W co nie daje sobie dmuchać osoba stanowcza?,['w kaszę'],Zdarzenie miało miejsce w kaszę.
Jak miał na imię generał amerykański McArthur?,['Douglas'],Słynna osoba lub rzecz to Douglas.
"Jak nazywał się właściciel cukierni, w której w latach 1905-12 działała grupa Zielony Balonik?",['Jan Apolinary Michalik'],Słynna osoba lub rzecz to Jan Apolinary Michalik.
Czy Toruń należał do Księstwa Warszawskiego?,['tak'],W literaturze Polski odpowiedź jest tak.
Ilu synów miał patriarcha Jakub?,"['dwunastu', '12']",Słynna osoba lub rzecz to dwunastu.
Zwolnienie której robotnicy spowodowało strajk w Stoczni Gdańskiej?,['Anny Walentynowicz'],Słynna osoba lub rzecz to Anny Walentynowicz.
Częścią którego oceanu jest Morze Czerwone?,['Oceanu Indyjskiego'],Słynna osoba lub rzecz to Oceanu Indyjskiego.
"Do którego warzywa odsyłamy coś, co się do niczego nie nadaje?",['do chrzanu'],Słynna osoba lub rzecz to do chrzanu.
Jak z greki nazywa się chorobliwy strach przed ogniem?,['pirofobia'],Słynna osoba lub rzecz to pirofobia.
W którym wieku ukazał się na łamach Kuriera Codziennego ostatni odcinek „Lalki”?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
